<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.06.05	21:00:00	1.04859	1.04863	1.04809	1.04812	2573	0	53
2017.06.05	22:00:00	1.04812	1.04836	1.04766	1.04795	2038	0	52
2017.06.05	23:00:00	1.04795	1.04880	1.04795	1.04840	1311	0	53
2017.06.06	00:00:00	1.04791	1.04866	1.04789	1.04841	1351	0	57
2017.06.06	01:00:00	1.04841	1.04910	1.04814	1.04896	2368	0	51
2017.06.06	02:00:00	1.04896	1.05031	1.04888	1.04974	3243	0	51
2017.06.06	03:00:00	1.04975	1.04996	1.04873	1.04897	4751	0	51
2017.06.06	04:00:00	1.04897	1.04938	1.04496	1.04570	7197	0	51
2017.06.06	05:00:00	1.04570	1.04575	1.04274	1.04436	5678	0	51
2017.06.06	06:00:00	1.04436	1.04453	1.04385	1.04407	3576	0	51
2017.06.06	07:00:00	1.04409	1.04666	1.04348	1.04607	6327	0	51
2017.06.06	08:00:00	1.04609	1.04620	1.04436	1.04550	4942	0	51
2017.06.06	09:00:00	1.04550	1.04578	1.04163	1.04293	6908	0	51
2017.06.06	10:00:00	1.04293	1.04417	1.04259	1.04301	4688	0	51
2017.06.06	11:00:00	1.04304	1.04328	1.04194	1.04291	3713	0	51
2017.06.06	12:00:00	1.04292	1.04340	1.04267	1.04308	3320	0	51
2017.06.06	13:00:00	1.04319	1.04322	1.04229	1.04265	2972	0	34
2017.06.06	14:00:00	1.04266	1.04344	1.04239	1.04299	5229	0	51
2017.06.06	15:00:00	1.04300	1.04400	1.04282	1.04383	5331	0	51
2017.06.06	16:00:00	1.04383	1.04531	1.04364	1.04518	6288	0	51
2017.06.06	17:00:00	1.04519	1.04532	1.04316	1.04345	6867	0	51
2017.06.06	18:00:00	1.04347	1.04423	1.04287	1.04304	5925	0	51
2017.06.06	19:00:00	1.04304	1.04510	1.04299	1.04502	3427	0	51
