<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.31	1.06660	1.07203	1.06483	1.07070	54928	0	0
2021.01.04	1.07052	1.07202	1.06689	1.06776	81386	0	0
2021.01.05	1.06780	1.07184	1.06693	1.06980	83883	0	8
2021.01.06	1.06993	1.07058	1.06796	1.06941	107212	0	3
2021.01.07	1.06951	1.07051	1.06718	1.07041	83768	0	12
2021.01.08	1.07040	1.07335	1.06870	1.07265	98177	0	0
2021.01.11	1.07147	1.07460	1.07041	1.07424	82156	0	3
2021.01.12	1.07456	1.07756	1.07329	1.07607	78095	0	9
2021.01.13	1.07593	1.07827	1.07360	1.07709	67668	0	0
2021.01.14	1.07727	1.07946	1.07608	1.07679	72515	0	0
2021.01.15	1.07678	1.08040	1.07645	1.07997	73637	0	0
2021.01.18	1.07870	1.08086	1.07840	1.07984	56711	0	3
2021.01.19	1.07917	1.08417	1.07893	1.08081	66639	0	6
2021.01.20	1.08053	1.08386	1.07951	1.07975	67266	0	4
2021.01.21	1.07980	1.08041	1.07524	1.07549	65233	0	0
2021.01.22	1.07556	1.07681	1.07338	1.07339	62904	0	0
2021.01.25	1.07433	1.07513	1.06952	1.07141	75215	0	0
2021.01.26	1.07026	1.07216	1.06809	1.07014	59191	0	6
2021.01.27	1.07051	1.07149	1.06811	1.07002	86616	0	10
2021.01.28	1.06972	1.07122	1.06716	1.07055	92820	0	6
2021.01.29	1.07056	1.07056	1.06324	1.06359	91042	0	7
2021.02.01	1.06428	1.06619	1.06224	1.06451	87580	0	6
2021.02.02	1.06447	1.06762	1.05702	1.05741	78218	0	0
2021.02.03	1.05745	1.05950	1.05400	1.05669	67529	0	6
2021.02.04	1.05638	1.06202	1.05634	1.06182	67390	0	0
2021.02.05	1.06184	1.06615	1.06084	1.06597	62261	0	6
2021.02.08	1.06617	1.06734	1.06450	1.06608	56430	0	10
2021.02.09	1.06572	1.06897	1.06520	1.06843	55959	0	0
2021.02.10	1.06817	1.07269	1.06772	1.06959	63795	0	0
2021.02.11	1.06998	1.07293	1.06911	1.07241	50889	0	0
2021.02.12	1.07218	1.07581	1.07091	1.07457	45517	0	0
2021.02.15	1.07728	1.07729	1.07376	1.07612	37053	0	0
2021.02.16	1.07615	1.07664	1.07184	1.07463	64381	0	0
2021.02.17	1.07448	1.07942	1.07442	1.07771	74683	0	0
2021.02.18	1.07774	1.07952	1.07532	1.07544	70995	0	7
2021.02.19	1.07534	1.07931	1.07529	1.07851	70093	0	0
2021.02.22	1.07929	1.08157	1.07636	1.07972	71599	0	8
2021.02.23	1.07964	1.08266	1.07713	1.07743	73883	0	0
2021.02.24	1.07726	1.08199	1.06863	1.07077	86984	0	0
2021.02.25	1.07086	1.07400	1.06695	1.06749	103643	0	0
2021.02.26	1.06742	1.07158	1.06384	1.06533	124306	0	0
2021.03.01	1.06496	1.07022	1.06432	1.06948	86673	0	0
2021.03.02	1.06950	1.07691	1.06689	1.07216	83793	0	0
2021.03.03	1.07224	1.07552	1.07192	1.07242	69844	0	0
2021.03.04	1.07234	1.07531	1.07175	1.07407	87352	0	0
2021.03.05	1.07414	1.07663	1.07138	1.07215	95311	0	0
2021.03.08	1.07265	1.07641	1.07190	1.07369	99703	0	5
2021.03.09	1.07290	1.07701	1.07202	1.07550	88304	0	0
2021.03.10	1.07517	1.07606	1.07389	1.07489	77927	0	0
2021.03.11	1.07484	1.07837	1.07389	1.07740	70817	0	6
2021.03.12	1.07743	1.08177	1.07688	1.08172	75344	0	8
